date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:31:11	60836/60836	---M-Z	200	added ('OK')	text/html	etag:%2200f697afdf5fffb4ddc7b0a54704fa88%22	https://demo.hasthemes.com/mitech-preview/index.html	d:/My%20Web%20Sites/chc2/demo.hasthemes.com/mitech-preview/index.html	(from )
16:31:12	218/218	---MCZ	403	error ('Forbidden')	application/xml	date:Sat,%2007%20Nov%202020%2021:31:12%20GMT	https://demo.hasthemes.com/robots.txt		(from )
16:31:12	605/605	---M--	200	added ('OK')	image/png	etag:%2261fea4ecc966bf962ef01ffde74dbcce%22	https://demo.hasthemes.com/mitech-preview/assets/images/favicon.png	d:/My%20Web%20Sites/chc2/demo.hasthemes.com/mitech-preview/assets/images/favicon.png	(from https://demo.hasthemes.com/mitech-preview/index.html)
16:31:12	276081/276081	---M-Z	200	added ('OK')	text/css	etag:%22d922da4fc3e2795cc0d40bef0a20d1e6%22	https://demo.hasthemes.com/mitech-preview/assets/css/vendor/vendor.min.css	d:/My%20Web%20Sites/chc2/demo.hasthemes.com/mitech-preview/assets/css/vendor/vendor.min.css	(from https://demo.hasthemes.com/mitech-preview/index.html)
16:31:12	116853/116853	---M-Z	200	added ('OK')	text/css	etag:%2269051e3b62f04ebbf14762773b2fbd84%22	https://demo.hasthemes.com/mitech-preview/assets/css/plugins/plugins.min.css	d:/My%20Web%20Sites/chc2/demo.hasthemes.com/mitech-preview/assets/css/plugins/plugins.min.css	(from https://demo.hasthemes.com/mitech-preview/index.html)
16:31:12	1300279/1300279	---M-Z	200	added ('OK')	text/css	etag:%227cdbe44f04647595cd9e35ecee0b94ae%22	https://demo.hasthemes.com/mitech-preview/assets/css/style.css	d:/My%20Web%20Sites/chc2/demo.hasthemes.com/mitech-preview/assets/css/style.css	(from https://demo.hasthemes.com/mitech-preview/index.html)
16:31:13	3540/3540	---M--	200	added ('OK')	image/png	etag:%22fc2df99ab1a4f9910aeb5710d0e04c5c%22	https://demo.hasthemes.com/mitech-preview/assets/images/logo/light-logo.png	d:/My%20Web%20Sites/chc2/demo.hasthemes.com/mitech-preview/assets/images/logo/light-logo.png	(from https://demo.hasthemes.com/mitech-preview/index.html)
16:31:13	3550/3550	---M--	200	added ('OK')	image/png	etag:%220cd7eab2e01c8e26de11b519c899cc7b%22	https://demo.hasthemes.com/mitech-preview/assets/images/logo/dark-logo.png	d:/My%20Web%20Sites/chc2/demo.hasthemes.com/mitech-preview/assets/images/logo/dark-logo.png	(from https://demo.hasthemes.com/mitech-preview/index.html)
16:31:13	75683/75683	---MCZ	200	added ('OK')	text/html	etag:%225e42765c32eca5cb8250f7698e422e96%22	https://demo.hasthemes.com/mitech-preview/element-accordion.html	d:/My%20Web%20Sites/chc2/demo.hasthemes.com/mitech-preview/element-accordion.html	(from https://demo.hasthemes.com/mitech-preview/index.html)
16:31:14	83181/83181	---MCZ	200	added ('OK')	text/html	etag:%22a4ee42a30429add240a3da04f40bc02f%22	https://demo.hasthemes.com/mitech-preview/element-box-icon.html	d:/My%20Web%20Sites/chc2/demo.hasthemes.com/mitech-preview/element-box-icon.html	(from https://demo.hasthemes.com/mitech-preview/index.html)
16:31:14	107526/107526	---MCZ	200	added ('OK')	text/html	etag:%22314017a08427289f64a120a76b677033%22	https://demo.hasthemes.com/mitech-preview/element-box-image.html	d:/My%20Web%20Sites/chc2/demo.hasthemes.com/mitech-preview/element-box-image.html	(from https://demo.hasthemes.com/mitech-preview/index.html)
16:31:14	71947/71947	---MCZ	200	added ('OK')	text/html	etag:%223bb9904928ba304fbbe6726786a3324f%22	https://demo.hasthemes.com/mitech-preview/element-box-large-image.html	d:/My%20Web%20Sites/chc2/demo.hasthemes.com/mitech-preview/element-box-large-image.html	(from https://demo.hasthemes.com/mitech-preview/index.html)
16:31:14	55502/55502	---MCZ	200	added ('OK')	text/html	etag:%22c31553cc62ecd443b294277576f37175%22	https://demo.hasthemes.com/mitech-preview/element-buttons.html	d:/My%20Web%20Sites/chc2/demo.hasthemes.com/mitech-preview/element-buttons.html	(from https://demo.hasthemes.com/mitech-preview/index.html)
16:31:15	51344/51344	---MCZ	200	added ('OK')	text/html	etag:%22604b929546786f1fa0f6f825a71f50de%22	https://demo.hasthemes.com/mitech-preview/element-cta.html	d:/My%20Web%20Sites/chc2/demo.hasthemes.com/mitech-preview/element-cta.html	(from https://demo.hasthemes.com/mitech-preview/index.html)
16:31:15	78060/78060	---MCZ	200	added ('OK')	text/html	etag:%22b34aa409f79bf3fc4e324ee3acf43bff%22	https://demo.hasthemes.com/mitech-preview/element-client-logo.html	d:/My%20Web%20Sites/chc2/demo.hasthemes.com/mitech-preview/element-client-logo.html	(from https://demo.hasthemes.com/mitech-preview/index.html)
16:31:15	52893/52893	---MCZ	200	added ('OK')	text/html	etag:%227c593637cdd4379d15b3ad96f70727bd%22	https://demo.hasthemes.com/mitech-preview/element-countdown.html	d:/My%20Web%20Sites/chc2/demo.hasthemes.com/mitech-preview/element-countdown.html	(from https://demo.hasthemes.com/mitech-preview/index.html)
16:31:16	56648/56648	---MCZ	200	added ('OK')	text/html	etag:%22681edc1277339664a65a4ed79e603df3%22	https://demo.hasthemes.com/mitech-preview/element-counters.html	d:/My%20Web%20Sites/chc2/demo.hasthemes.com/mitech-preview/element-counters.html	(from https://demo.hasthemes.com/mitech-preview/index.html)
16:31:16	56464/56464	---MCZ	200	added ('OK')	text/html	etag:%2272018c702db53a58bd177910c0636887%22	https://demo.hasthemes.com/mitech-preview/element-dividers.html	d:/My%20Web%20Sites/chc2/demo.hasthemes.com/mitech-preview/element-dividers.html	(from https://demo.hasthemes.com/mitech-preview/index.html)
16:31:16	67939/67939	---MCZ	200	added ('OK')	text/html	etag:%228e8c90c6830de2eaac8288c5878ecb30%22	https://demo.hasthemes.com/mitech-preview/element-flexible-image-slider.html	d:/My%20Web%20Sites/chc2/demo.hasthemes.com/mitech-preview/element-flexible-image-slider.html	(from https://demo.hasthemes.com/mitech-preview/index.html)
16:31:16	78109/78109	---MCZ	200	added ('OK')	text/html	etag:%22816c139b1b17fc704039f6f8242981e8%22	https://demo.hasthemes.com/mitech-preview/element-google-map.html	d:/My%20Web%20Sites/chc2/demo.hasthemes.com/mitech-preview/element-google-map.html	(from https://demo.hasthemes.com/mitech-preview/index.html)
